Date,Price,Open,High,Low,Vol.,Change %
12/07/2022,71.02,72,72.15,70.85,1.82M,-0.77%
12/06/2022,71.57,71.9,72,70.5,957.36K,-0.18%
12/05/2022,71.7,72.01,72.3,71.5,692.61K,-1.01%
12/02/2022,72.43,72.36,72.75,71.77,1.15M,-0.03%
12/01/2022,72.45,72.99,73.25,72.4,2.72M,0.21%
11/30/2022,72.3,72.85,73.13,72.15,1.25M,-0.55%
11/29/2022,72.7,72.41,73.2,72.12,1.30M,0.62%
11/28/2022,72.25,73.47,73.7,71.98,2.33M,-2.72%
11/25/2022,74.27,74.75,75.1,74.1,2.35M,0.24%
11/24/2022,74.09,74,74.5,73.6,1.60M,0.34%
11/23/2022,73.84,74.3,74.44,73.8,661.56K,-0.14%
11/22/2022,73.94,74.8,75.14,73.9,1.83M,-0.75%
11/21/2022,74.5,74.45,75,74,747.02K,0.15%
11/18/2022,74.39,74.75,75.3,74.05,1.90M,-0.68%
11/17/2022,74.9,76.49,76.5,74.86,1.31M,-1.08%
11/16/2022,75.72,77,77.7,75.7,2.41M,-1.39%
11/15/2022,76.79,76.4,78.65,76.13,6.57M,0.46%
11/14/2022,76.44,77,78.2,76.01,4.37M,-1.96%
11/11/2022,77.97,74.4,78.49,73.65,12.54M,5.08%
11/10/2022,74.2,71.75,75.9,71.75,12.08M,3.85%
11/08/2022,71.45,71.25,72.3,71.15,967.99K,0.76%
11/07/2022,70.91,70.8,71.41,70.61,1.19M,0.80%
11/04/2022,70.35,70.5,70.7,70,851.62K,-2.64%
11/03/2022,72.26,71.89,72.61,71.47,3.22M,0.71%
11/02/2022,71.75,70.76,71.89,70.76,1.40M,1.20%
11/01/2022,70.9,70.35,70.99,70,1.56M,1.33%
10/31/2022,69.97,70.9,71.1,69.9,1.57M,-0.67%
10/28/2022,70.44,71.33,71.48,70.25,928.07K,-1.19%
10/27/2022,71.29,71.9,71.9,70.85,1.31M,-0.56%
10/26/2022,71.69,72.76,72.8,71.4,1.76M,-2.26%
10/25/2022,73.35,73.12,74.89,73.1,4.39M,0.20%
10/24/2022,73.2,73.95,74.25,72.96,1.27M,0.33%
10/21/2022,72.96,72.59,73.8,71.83,4.55M,1.04%
10/20/2022,72.21,73.25,73.6,72.2,1.06M,-0.88%
10/19/2022,72.85,71.82,73.1,71.82,1.19M,0.97%
10/18/2022,72.15,72.45,73.4,71.8,1.21M,-0.26%
10/17/2022,72.34,73.9,74,72.2,836.35K,-2.12%
10/14/2022,73.91,74.6,74.7,73.5,2.15M,-3.51%
10/13/2022,76.6,77,77.35,76.35,3.95M,0.00%
10/12/2022,76.6,76.75,77.2,76.5,1.07M,-0.51%
10/11/2022,76.99,76.51,77.9,76.51,2.73M,0.83%
10/10/2022,76.36,75.5,77.45,75.5,2.20M,1.27%
10/07/2022,75.4,75.61,76.79,75.3,789.06K,-1.24%
10/06/2022,76.35,74.5,76.7,74.5,1.77M,2.36%
10/05/2022,74.59,75,75.24,74.48,519.52K,-0.40%
10/04/2022,74.89,75.06,75.49,74.5,596.47K,-0.41%
10/03/2022,75.2,75.69,75.99,75,751.89K,-0.69%
09/30/2022,75.72,75.79,76.48,75.04,1.46M,0.29%
09/29/2022,75.5,76,76.5,75.01,1.11M,-0.97%
09/28/2022,76.24,76.69,77.8,75.8,2.05M,-0.66%
09/27/2022,76.75,74.4,79,73.9,2.82M,4.00%
09/26/2022,73.8,73.5,74.5,73.5,1.30M,0.64%
09/23/2022,73.33,75,75.55,73,4.15M,-0.89%
09/22/2022,73.99,71.45,74.38,71.05,2.98M,3.27%
09/21/2022,71.65,75.91,76.5,71.12,3.47M,-5.72%
09/20/2022,76,78,78.3,75.51,1.58M,-2.69%
09/19/2022,78.1,78.5,78.8,77.88,736.09K,-0.38%
09/16/2022,78.4,78.8,78.8,76.75,2.50M,0.38%
09/15/2022,78.1,80,80,78.05,1.75M,-1.59%
